datum,okres_kod,okres,pohlavi_kod,pohlavi,typ_dnp,pocet_dnp
2015-01-01,OK.3204,Kolín,M,Muž,Peněžitá pomoc v mateřství,4
2015-01-01,OK.3204,Kolín,F,Žena,Peněžitá pomoc v mateřství,256
2015-01-01,OK.3204,Kolín,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3205,Kutná Hora,M,Muž,Nemocenské,367
2015-01-01,OK.3205,Kutná Hora,F,Žena,Nemocenské,391
2015-01-01,OK.3205,Kutná Hora,M,Muž,Ošetřovné,37
2015-01-01,OK.3205,Kutná Hora,F,Žena,Ošetřovné,90
2015-01-01,OK.3205,Kutná Hora,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3205,Kutná Hora,F,Žena,Peněžitá pomoc v mateřství,121
2015-01-01,OK.3205,Kutná Hora,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3206,Mělník,F,Žena,Ošetřovné,123
2015-01-01,OK.3206,Mělník,M,Muž,Peněžitá pomoc v mateřství,3
2015-01-01,OK.3206,Mělník,F,Žena,Peněžitá pomoc v mateřství,207
2015-01-01,OK.3206,Mělník,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3206,Mělník,M,Muž,Nemocenské,354
2015-01-01,OK.3206,Mělník,F,Žena,Nemocenské,374
2015-01-01,OK.3206,Mělník,M,Muž,Ošetřovné,39
2015-01-01,OK.3207,Mladá Boleslav,M,Muž,Nemocenské,1189
2015-01-01,OK.3207,Mladá Boleslav,F,Žena,Nemocenské,975
2015-01-01,OK.3207,Mladá Boleslav,M,Muž,Ošetřovné,312
2015-01-01,OK.3207,Mladá Boleslav,F,Žena,Ošetřovné,560
2015-01-01,OK.3207,Mladá Boleslav,M,Muž,Peněžitá pomoc v mateřství,4
2015-01-01,OK.3207,Mladá Boleslav,F,Žena,Peněžitá pomoc v mateřství,533
2015-01-01,OK.3207,Mladá Boleslav,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,25
2015-01-01,OK.3208,Nymburk,M,Muž,Nemocenské,378
2015-01-01,OK.3208,Nymburk,F,Žena,Nemocenské,493
2015-01-01,OK.3208,Nymburk,M,Muž,Ošetřovné,54
2015-01-01,OK.3208,Nymburk,F,Žena,Ošetřovné,161
2015-01-01,OK.3208,Nymburk,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3208,Nymburk,F,Žena,Peněžitá pomoc v mateřství,211
2015-01-01,OK.3208,Nymburk,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3209,Praha-východ,M,Muž,Nemocenské,951
2015-01-01,OK.3209,Praha-východ,F,Žena,Nemocenské,1836
2015-01-01,OK.3209,Praha-východ,M,Muž,Ošetřovné,106
2015-01-01,OK.3209,Praha-východ,F,Žena,Ošetřovné,475
2015-01-01,OK.3209,Praha-východ,M,Muž,Peněžitá pomoc v mateřství,7
2015-01-01,OK.3209,Praha-východ,F,Žena,Peněžitá pomoc v mateřství,765
2015-01-01,OK.3209,Praha-východ,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3210,Praha-západ,M,Muž,Nemocenské,652
2015-01-01,OK.3210,Praha-západ,F,Žena,Nemocenské,587
2015-01-01,OK.3210,Praha-západ,M,Muž,Ošetřovné,47
2015-01-01,OK.3210,Praha-západ,F,Žena,Ošetřovné,247
2015-01-01,OK.3210,Praha-západ,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3210,Praha-západ,F,Žena,Peněžitá pomoc v mateřství,377
2015-01-01,OK.3210,Praha-západ,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3211,Příbram,M,Muž,Nemocenské,610
2015-01-01,OK.3211,Příbram,F,Žena,Nemocenské,777
2015-01-01,OK.3211,Příbram,M,Muž,Ošetřovné,54
2015-01-01,OK.3211,Příbram,F,Žena,Ošetřovné,230
2015-01-01,OK.3211,Příbram,M,Muž,Peněžitá pomoc v mateřství,4
2015-01-01,OK.3211,Příbram,F,Žena,Peněžitá pomoc v mateřství,287
2015-01-01,OK.3211,Příbram,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3212,Rakovník,M,Muž,Nemocenské,326
2015-01-01,OK.3212,Rakovník,F,Žena,Nemocenské,411
2015-01-01,OK.3212,Rakovník,M,Muž,Ošetřovné,25
2015-01-01,OK.3212,Rakovník,F,Žena,Ošetřovné,81
2015-01-01,OK.3212,Rakovník,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3212,Rakovník,F,Žena,Peněžitá pomoc v mateřství,140
2015-01-01,OK.3212,Rakovník,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,2
2015-01-01,OK.3301,České Budějovice,M,Muž,Nemocenské,1769
2015-01-01,OK.3301,České Budějovice,F,Žena,Nemocenské,2286
2015-01-01,OK.3301,České Budějovice,M,Muž,Ošetřovné,194
2015-01-01,OK.3301,České Budějovice,F,Žena,Ošetřovné,747
2015-01-01,OK.3301,České Budějovice,M,Muž,Peněžitá pomoc v mateřství,5
2015-01-01,OK.3301,České Budějovice,F,Žena,Peněžitá pomoc v mateřství,888
2015-01-01,OK.3301,České Budějovice,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3302,Český Krumlov,M,Muž,Nemocenské,359
2015-01-01,OK.3302,Český Krumlov,F,Žena,Nemocenské,382
2015-01-01,OK.3302,Český Krumlov,M,Muž,Ošetřovné,45
2015-01-01,OK.3302,Český Krumlov,F,Žena,Ošetřovné,113
2015-01-01,OK.3302,Český Krumlov,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3302,Český Krumlov,F,Žena,Peněžitá pomoc v mateřství,160
2015-01-01,OK.3302,Český Krumlov,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3303,Jindřichův Hradec,M,Muž,Nemocenské,491
2015-01-01,OK.3303,Jindřichův Hradec,F,Žena,Nemocenské,591
2015-01-01,OK.3303,Jindřichův Hradec,M,Muž,Ošetřovné,54
2015-01-01,OK.3303,Jindřichův Hradec,F,Žena,Ošetřovné,157
2015-01-01,OK.3303,Jindřichův Hradec,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3303,Jindřichův Hradec,F,Žena,Peněžitá pomoc v mateřství,230
2015-01-01,OK.3303,Jindřichův Hradec,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3304,Pelhřimov,M,Muž,Nemocenské,615
2015-01-01,OK.3304,Pelhřimov,F,Žena,Nemocenské,663
2015-01-01,OK.3304,Pelhřimov,M,Muž,Ošetřovné,53
2015-01-01,OK.3304,Pelhřimov,F,Žena,Ošetřovné,142
2015-01-01,OK.3304,Pelhřimov,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3304,Pelhřimov,F,Žena,Peněžitá pomoc v mateřství,224
2015-01-01,OK.3304,Pelhřimov,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3305,Písek,M,Muž,Ošetřovné,42
2015-01-01,OK.3305,Písek,F,Žena,Ošetřovné,146
2015-01-01,OK.3305,Písek,M,Muž,Peněžitá pomoc v mateřství,3
2015-01-01,OK.3305,Písek,F,Žena,Peněžitá pomoc v mateřství,187
2015-01-01,OK.3305,Písek,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3305,Písek,M,Muž,Nemocenské,533
2015-01-01,OK.3305,Písek,F,Žena,Nemocenské,626
2015-01-01,OK.3306,Prachatice,M,Muž,Nemocenské,417
2015-01-01,OK.3306,Prachatice,F,Žena,Nemocenské,488
2015-01-01,OK.3306,Prachatice,M,Muž,Ošetřovné,24
2015-01-01,OK.3306,Prachatice,F,Žena,Ošetřovné,136
2015-01-01,OK.3306,Prachatice,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3306,Prachatice,F,Žena,Peněžitá pomoc v mateřství,125
2015-01-01,OK.3306,Prachatice,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3307,Strakonice,M,Muž,Nemocenské,589
2015-01-01,OK.3307,Strakonice,F,Žena,Nemocenské,642
2015-01-01,OK.3307,Strakonice,M,Muž,Ošetřovné,38
2015-01-01,OK.3307,Strakonice,F,Žena,Ošetřovné,120
2015-01-01,OK.3307,Strakonice,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3307,Strakonice,F,Žena,Peněžitá pomoc v mateřství,205
2015-01-01,OK.3307,Strakonice,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3308,Tábor,M,Muž,Nemocenské,764
2015-01-01,OK.3308,Tábor,F,Žena,Nemocenské,816
2015-01-01,OK.3308,Tábor,M,Muž,Ošetřovné,90
2015-01-01,OK.3308,Tábor,F,Žena,Ošetřovné,239
2015-01-01,OK.3308,Tábor,M,Muž,Peněžitá pomoc v mateřství,5
2015-01-01,OK.3308,Tábor,F,Žena,Peněžitá pomoc v mateřství,277
2015-01-01,OK.3308,Tábor,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3401,Domažlice,M,Muž,Nemocenské,376
2015-01-01,OK.3401,Domažlice,F,Žena,Nemocenské,408
2015-01-01,OK.3401,Domažlice,M,Muž,Ošetřovné,24
2015-01-01,OK.3401,Domažlice,F,Žena,Ošetřovné,79
2015-01-01,OK.3401,Domažlice,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3401,Domažlice,F,Žena,Peněžitá pomoc v mateřství,125
2015-01-01,OK.3401,Domažlice,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3402,Cheb,M,Muž,Nemocenské,476
2015-01-01,OK.3402,Cheb,F,Žena,Nemocenské,682
2015-01-01,OK.3402,Cheb,M,Muž,Ošetřovné,50
2015-01-01,OK.3402,Cheb,F,Žena,Ošetřovné,262
2015-01-01,OK.3402,Cheb,M,Muž,Peněžitá pomoc v mateřství,3
2015-01-01,OK.3402,Cheb,F,Žena,Peněžitá pomoc v mateřství,228
2015-01-01,OK.3402,Cheb,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,2
2015-01-01,OK.3403,Karlovy Vary,M,Muž,Nemocenské,648
2015-01-01,OK.3403,Karlovy Vary,F,Žena,Nemocenské,1108
2015-01-01,OK.3403,Karlovy Vary,M,Muž,Ošetřovné,62
2015-01-01,OK.3403,Karlovy Vary,F,Žena,Ošetřovné,309
2015-01-01,OK.3403,Karlovy Vary,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3403,Karlovy Vary,F,Žena,Peněžitá pomoc v mateřství,327
2015-01-01,OK.3403,Karlovy Vary,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,2
2015-01-01,OK.3404,Klatovy,M,Muž,Nemocenské,539
2015-01-01,OK.3404,Klatovy,F,Žena,Nemocenské,641
2015-01-01,OK.3404,Klatovy,M,Muž,Ošetřovné,48
2015-01-01,OK.3404,Klatovy,F,Žena,Ošetřovné,192
2015-01-01,OK.3404,Klatovy,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3404,Klatovy,F,Žena,Peněžitá pomoc v mateřství,210
2015-01-01,OK.3404,Klatovy,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3405,Plzeň-město,M,Muž,Nemocenské,1845
2015-01-01,OK.3405,Plzeň-město,F,Žena,Nemocenské,2170
2015-01-01,OK.3405,Plzeň-město,M,Muž,Ošetřovné,216
2015-01-01,OK.3405,Plzeň-město,F,Žena,Ošetřovné,771
2015-01-01,OK.3405,Plzeň-město,M,Muž,Peněžitá pomoc v mateřství,4
2015-01-01,OK.3405,Plzeň-město,F,Žena,Peněžitá pomoc v mateřství,1019
2015-01-01,OK.3405,Plzeň-město,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,2
2015-01-01,OK.3406,Plzeň-jih,M,Muž,Nemocenské,379
2015-01-01,OK.3406,Plzeň-jih,F,Žena,Nemocenské,715
2015-01-01,OK.3406,Plzeň-jih,M,Muž,Ošetřovné,32
2015-01-01,OK.3406,Plzeň-jih,F,Žena,Ošetřovné,201
2015-01-01,OK.3406,Plzeň-jih,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3406,Plzeň-jih,F,Žena,Peněžitá pomoc v mateřství,211
2015-01-01,OK.3406,Plzeň-jih,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3407,Plzeň-sever,M,Muž,Nemocenské,454
2015-01-01,OK.3407,Plzeň-sever,F,Žena,Nemocenské,402
2015-01-01,OK.3407,Plzeň-sever,M,Muž,Ošetřovné,39
2015-01-01,OK.3407,Plzeň-sever,F,Žena,Ošetřovné,128
2015-01-01,OK.3407,Plzeň-sever,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3407,Plzeň-sever,F,Žena,Peněžitá pomoc v mateřství,132
2015-01-01,OK.3407,Plzeň-sever,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3408,Rokycany,M,Muž,Nemocenské,501
2015-01-01,OK.3408,Rokycany,F,Žena,Nemocenské,390
2015-01-01,OK.3408,Rokycany,M,Muž,Ošetřovné,45
2015-01-01,OK.3408,Rokycany,F,Žena,Ošetřovné,107
2015-01-01,OK.3408,Rokycany,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3408,Rokycany,F,Žena,Peněžitá pomoc v mateřství,139
2015-01-01,OK.3408,Rokycany,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3409,Sokolov,M,Muž,Nemocenské,485
2015-01-01,OK.3409,Sokolov,F,Žena,Nemocenské,546
2015-01-01,OK.3409,Sokolov,M,Muž,Ošetřovné,71
2015-01-01,OK.3409,Sokolov,F,Žena,Ošetřovné,255
2015-01-01,OK.3409,Sokolov,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3409,Sokolov,F,Žena,Peněžitá pomoc v mateřství,145
2015-01-01,OK.3409,Sokolov,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3410,Tachov,M,Muž,Nemocenské,451
2015-01-01,OK.3410,Tachov,F,Žena,Nemocenské,561
2015-01-01,OK.3410,Tachov,M,Muž,Ošetřovné,45
2015-01-01,OK.3410,Tachov,F,Žena,Ošetřovné,183
2015-01-01,OK.3410,Tachov,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3410,Tachov,F,Žena,Peněžitá pomoc v mateřství,147
2015-01-01,OK.3410,Tachov,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3501,Česká Lípa,M,Muž,Nemocenské,751
2015-01-01,OK.3501,Česká Lípa,F,Žena,Nemocenské,908
2015-01-01,OK.3501,Česká Lípa,M,Muž,Ošetřovné,82
2015-01-01,OK.3501,Česká Lípa,F,Žena,Ošetřovné,320
2015-01-01,OK.3501,Česká Lípa,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3501,Česká Lípa,F,Žena,Peněžitá pomoc v mateřství,282
2015-01-01,OK.3501,Česká Lípa,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,2
2015-01-01,OK.3502,Děčín,M,Muž,Nemocenské,669
2015-01-01,OK.3502,Děčín,F,Žena,Nemocenské,865
2015-01-01,OK.3502,Děčín,M,Muž,Ošetřovné,70
2015-01-01,OK.3502,Děčín,F,Žena,Ošetřovné,303
2015-01-01,OK.3502,Děčín,M,Muž,Peněžitá pomoc v mateřství,3
2015-01-01,OK.3502,Děčín,F,Žena,Peněžitá pomoc v mateřství,271
2015-01-01,OK.3502,Děčín,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3503,Chomutov,M,Muž,Nemocenské,594
2015-01-01,OK.3503,Chomutov,F,Žena,Nemocenské,755
2015-01-01,OK.3503,Chomutov,M,Muž,Ošetřovné,58
2015-01-01,OK.3503,Chomutov,F,Žena,Ošetřovné,303
2015-01-01,OK.3503,Chomutov,M,Muž,Peněžitá pomoc v mateřství,6
2015-01-01,OK.3503,Chomutov,F,Žena,Peněžitá pomoc v mateřství,261
2015-01-01,OK.3503,Chomutov,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3504,Jablonec nad Nisou,M,Muž,Nemocenské,458
2015-01-01,OK.3504,Jablonec nad Nisou,F,Žena,Nemocenské,591
2015-01-01,OK.3504,Jablonec nad Nisou,M,Muž,Ošetřovné,73
2015-01-01,OK.3504,Jablonec nad Nisou,F,Žena,Ošetřovné,276
2015-01-01,OK.3504,Jablonec nad Nisou,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3504,Jablonec nad Nisou,F,Žena,Peněžitá pomoc v mateřství,178
2015-01-01,OK.3504,Jablonec nad Nisou,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3505,Liberec,M,Muž,Nemocenské,1151
2015-01-01,OK.3505,Liberec,F,Žena,Nemocenské,1486
2015-01-01,OK.3505,Liberec,M,Muž,Ošetřovné,169
2015-01-01,OK.3505,Liberec,F,Žena,Ošetřovné,594
2015-01-01,OK.3505,Liberec,M,Muž,Peněžitá pomoc v mateřství,5
2015-01-01,OK.3505,Liberec,F,Žena,Peněžitá pomoc v mateřství,615
2015-01-01,OK.3505,Liberec,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,3
2015-01-01,OK.3506,Litoměřice,M,Muž,Nemocenské,630
2015-01-01,OK.3506,Litoměřice,F,Žena,Nemocenské,824
2015-01-01,OK.3506,Litoměřice,M,Muž,Ošetřovné,36
2015-01-01,OK.3506,Litoměřice,F,Žena,Ošetřovné,216
2015-01-01,OK.3506,Litoměřice,M,Muž,Peněžitá pomoc v mateřství,3
2015-01-01,OK.3506,Litoměřice,F,Žena,Peněžitá pomoc v mateřství,299
2015-01-01,OK.3506,Litoměřice,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3507,Louny,F,Žena,Ošetřovné,161
2015-01-01,OK.3507,Louny,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3507,Louny,F,Žena,Peněžitá pomoc v mateřství,158
2015-01-01,OK.3507,Louny,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3507,Louny,M,Muž,Nemocenské,502
2015-01-01,OK.3507,Louny,F,Žena,Nemocenské,552
2015-01-01,OK.3507,Louny,M,Muž,Ošetřovné,50
2015-01-01,OK.3508,Most,M,Muž,Nemocenské,608
2015-01-01,OK.3508,Most,F,Žena,Nemocenské,619
2015-01-01,OK.3508,Most,M,Muž,Ošetřovné,48
2015-01-01,OK.3508,Most,F,Žena,Ošetřovné,169
2015-01-01,OK.3508,Most,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3508,Most,F,Žena,Peněžitá pomoc v mateřství,196
2015-01-01,OK.3508,Most,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3509,Teplice,M,Muž,Nemocenské,913
2015-01-01,OK.3509,Teplice,F,Žena,Nemocenské,838
2015-01-01,OK.3509,Teplice,M,Muž,Ošetřovné,80
2015-01-01,OK.3509,Teplice,F,Žena,Ošetřovné,250
2015-01-01,OK.3509,Teplice,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3509,Teplice,F,Žena,Peněžitá pomoc v mateřství,253
2015-01-01,OK.3509,Teplice,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,2
2015-01-01,OK.3510,Ústí nad Labem,M,Muž,Nemocenské,1002
2015-01-01,OK.3510,Ústí nad Labem,F,Žena,Nemocenské,2790
2015-01-01,OK.3510,Ústí nad Labem,M,Muž,Ošetřovné,118
2015-01-01,OK.3510,Ústí nad Labem,F,Žena,Ošetřovné,748
2015-01-01,OK.3510,Ústí nad Labem,M,Muž,Peněžitá pomoc v mateřství,3
2015-01-01,OK.3510,Ústí nad Labem,F,Žena,Peněžitá pomoc v mateřství,875
2015-01-01,OK.3510,Ústí nad Labem,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,5
2015-01-01,OK.3601,Havlíčkův Brod,M,Muž,Nemocenské,620
2015-01-01,OK.3601,Havlíčkův Brod,F,Žena,Nemocenské,709
2015-01-01,OK.3601,Havlíčkův Brod,M,Muž,Ošetřovné,84
2015-01-01,OK.3601,Havlíčkův Brod,F,Žena,Ošetřovné,158
2015-01-01,OK.3601,Havlíčkův Brod,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3601,Havlíčkův Brod,F,Žena,Peněžitá pomoc v mateřství,302
2015-01-01,OK.3601,Havlíčkův Brod,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3602,Hradec Králové,M,Muž,Nemocenské,1139
2015-01-01,OK.3602,Hradec Králové,F,Žena,Nemocenské,1286
2015-01-01,OK.3602,Hradec Králové,M,Muž,Ošetřovné,120
2015-01-01,OK.3602,Hradec Králové,F,Žena,Ošetřovné,604
2015-01-01,OK.3602,Hradec Králové,M,Muž,Peněžitá pomoc v mateřství,6
2015-01-01,OK.3602,Hradec Králové,F,Žena,Peněžitá pomoc v mateřství,694
2015-01-01,OK.3602,Hradec Králové,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,2
2015-01-01,OK.3603,Chrudim,M,Muž,Nemocenské,721
2015-01-01,OK.3603,Chrudim,F,Žena,Nemocenské,755
2015-01-01,OK.3603,Chrudim,M,Muž,Ošetřovné,64
2015-01-01,OK.3603,Chrudim,F,Žena,Ošetřovné,226
2015-01-01,OK.3603,Chrudim,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3603,Chrudim,F,Žena,Peněžitá pomoc v mateřství,278
2015-01-01,OK.3603,Chrudim,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3604,Jičín,M,Muž,Nemocenské,420
2015-01-01,OK.3604,Jičín,F,Žena,Nemocenské,530
2015-01-01,OK.3604,Jičín,M,Muž,Ošetřovné,61
2015-01-01,OK.3604,Jičín,F,Žena,Ošetřovné,172
2015-01-01,OK.3604,Jičín,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3604,Jičín,F,Žena,Peněžitá pomoc v mateřství,216
2015-01-01,OK.3604,Jičín,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,2
2015-01-01,OK.3605,Náchod,M,Muž,Nemocenské,784
2015-01-01,OK.3605,Náchod,F,Žena,Nemocenské,1008
2015-01-01,OK.3605,Náchod,M,Muž,Ošetřovné,103
2015-01-01,OK.3605,Náchod,F,Žena,Ošetřovné,346
2015-01-01,OK.3605,Náchod,M,Muž,Peněžitá pomoc v mateřství,1
2015-01-01,OK.3605,Náchod,F,Žena,Peněžitá pomoc v mateřství,318
2015-01-01,OK.3605,Náchod,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3606,Pardubice,M,Muž,Nemocenské,1073
2015-01-01,OK.3606,Pardubice,F,Žena,Nemocenské,1461
2015-01-01,OK.3606,Pardubice,M,Muž,Ošetřovné,158
2015-01-01,OK.3606,Pardubice,F,Žena,Ošetřovné,652
2015-01-01,OK.3606,Pardubice,M,Muž,Peněžitá pomoc v mateřství,10
2015-01-01,OK.3606,Pardubice,F,Žena,Peněžitá pomoc v mateřství,924
2015-01-01,OK.3606,Pardubice,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3607,Rychnov nad Kněžnou,M,Muž,Nemocenské,460
2015-01-01,OK.3607,Rychnov nad Kněžnou,F,Žena,Nemocenské,456
2015-01-01,OK.3607,Rychnov nad Kněžnou,M,Muž,Ošetřovné,93
2015-01-01,OK.3607,Rychnov nad Kněžnou,F,Žena,Ošetřovné,146
2015-01-01,OK.3607,Rychnov nad Kněžnou,M,Muž,Peněžitá pomoc v mateřství,0
2015-01-01,OK.3607,Rychnov nad Kněžnou,F,Žena,Peněžitá pomoc v mateřství,169
2015-01-01,OK.3607,Rychnov nad Kněžnou,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3608,Semily,M,Muž,Nemocenské,527
2015-01-01,OK.3608,Semily,F,Žena,Nemocenské,545
2015-01-01,OK.3608,Semily,M,Muž,Ošetřovné,53
2015-01-01,OK.3608,Semily,F,Žena,Ošetřovné,142
2015-01-01,OK.3608,Semily,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3608,Semily,F,Žena,Peněžitá pomoc v mateřství,231
2015-01-01,OK.3608,Semily,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,4
2015-01-01,OK.3609,Svitavy,M,Muž,Nemocenské,696
